"Date","Scenario","product_subproduct","Volumes"
2019-01-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",58.4782608695652
2019-02-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",1
2019-03-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",131
2019-04-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",88
2019-05-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",84
2019-06-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",76
2019-07-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",70
2019-08-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",55
2019-09-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",58
2019-10-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",65
2019-11-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",86
2019-12-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",45
2020-01-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",52
2020-02-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",53
2020-03-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",76
2020-04-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",73
2020-05-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",61
2020-06-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",55
2020-07-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",31
2020-08-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",38
2020-09-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",30
2020-10-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",40
2020-11-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",26
2020-12-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",51
2021-01-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",19
2021-02-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",17
2021-03-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",20
2021-04-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",27
2021-05-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",28
2021-06-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",22
2021-07-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",3
2021-08-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2021-09-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2021-10-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2021-11-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2021-12-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2022-01-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2022-02-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2022-03-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2022-04-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2022-05-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2022-06-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2022-07-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2022-08-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2022-09-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2022-10-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2022-11-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2022-12-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Change",0
2019-01-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",38.4347826086956
2019-02-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",1
2019-03-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",51
2019-04-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",48
2019-05-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",65
2019-06-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",54
2019-07-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",35
2019-08-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",31
2019-09-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",30
2019-10-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",34
2019-11-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",35
2019-12-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",49
2020-01-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",46
2020-02-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",55
2020-03-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",51
2020-04-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",63
2020-05-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",51
2020-06-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",27
2020-07-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",45
2020-08-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",35
2020-09-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",24
2020-10-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",24
2020-11-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",10
2020-12-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",20
2021-01-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",23
2021-02-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",8
2021-03-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",19
2021-04-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",18
2021-05-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",4
2021-06-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",1
2021-07-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2021-08-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2021-09-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2021-10-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2021-11-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2021-12-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2022-01-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2022-02-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2022-03-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2022-04-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2022-05-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2022-06-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2022-07-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2022-08-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2022-09-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2022-10-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2022-11-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2022-12-01,"Service Delivery - RBO + SDP + EASE - Te","CCE_and_Install",0
2019-01-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",33
2019-02-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",18
2019-03-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",58
2019-04-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",734
2019-05-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",639
2019-06-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",559
2019-07-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",582
2019-08-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",618
2019-09-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",806
2019-10-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",640
2019-11-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",630
2019-12-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",569
2020-01-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",583
2020-02-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",537
2020-03-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",538
2020-04-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",500
2020-05-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",519
2020-06-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",523
2020-07-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Change",613
